<<<<<<< HEAD
Country Name_x,Country Code,Country Name_y,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,AUT,Austria,315974000000.0,335999000000.0,388691000000.0,430294000000.0,400172000000.0,391893000000.0,431120000000.0,409425000000.0,430069000000.0,441996000000.0,381818000000.0,395569000000.0,417238000000.0,455095000000.0,445075000000.0
Belgium,BEL,Belgium,385571000000.0,407918000000.0,470324000000.0,515224000000.0,481346000000.0,480952000000.0,522646000000.0,496181000000.0,521643000000.0,534678000000.0,462150000000.0,475740000000.0,502698000000.0,543734000000.0,533097000000.0
Bulgaria,BGR,Bulgaria,29869283400.0,34379808889.0,44405101470.0,54438966420.0,52023504656.0,50381825504.0,57386216850.0,54033250329.0,55615397666.0,56901994980.0,50647442757.0,53806894796.0,58971520599.0,66230155100.0,68558815112.0
Croatia,HRV,Croatia,45376744002.0,50423077102.0,60073426977.0,70234425974.0,62600093959.0,59918313669.0,62537851352.0,56580819624.0,58194069434.0,57639588806.0,49525747504.0,51601147666.0,55481644098.0,61375222347.0,60752588976.0
Cyprus,CYP,Cyprus,18433411267.0,20072786351.0,23968764030.0,27844698989.0,25945391775.0,25732432719.0,27565469098.0,24978513427.0,23900872626.0,23156850007.0,19842404305.0,20953442550.0,22729184365.0,25309818139.0,24948935408.0
Czech Republic,CZE,Czech Republic,137143000000.0,156264000000.0,190184000000.0,236816000000.0,207434000000.0,209070000000.0,229563000000.0,208858000000.0,211686000000.0,209359000000.0,188033000000.0,196272000000.0,218629000000.0,248909000000.0,250681000000.0
Denmark,DNK,Denmark,264467000000.0,282885000000.0,319423000000.0,353361000000.0,321241000000.0,321995000000.0,344003000000.0,327149000000.0,343584000000.0,352994000000.0,302673000000.0,313116000000.0,332121000000.0,356879000000.0,350104000000.0
Estonia,EST,Estonia,14098326079.0,17012322168.0,22445583082.0,24371299253.0,19744110864.0,19693608289.0,23391530006.0,23192708982.0,25271406708.0,26773473625.0,23048864243.0,24259552889.0,26951648829.0,30631142227.0,31471100656.0
Finland,FIN,Finland,204809000000.0,216908000000.0,256053000000.0,284554000000.0,252497000000.0,249181000000.0,275244000000.0,258305000000.0,271285000000.0,274497000000.0,234440000000.0,240608000000.0,255232000000.0,275947000000.0,269296000000.0
France,FRA,France,2196130000000.0,2318590000000.0,2657210000000.0,2918380000000.0,2690220000000.0,2642610000000.0,2861410000000.0,2683830000000.0,2811080000000.0,2852170000000.0,2438210000000.0,2471290000000.0,2595150000000.0,2787860000000.0,2715520000000.0
Germany,DEU,Germany,2845800000000.0,2992200000000.0,3421230000000.0,3730030000000.0,3397790000000.0,3396350000000.0,3744410000000.0,3527340000000.0,3732740000000.0,3883920000000.0,3356240000000.0,3467500000000.0,3682600000000.0,3963770000000.0,3861120000000.0
Greece,GRC,Greece,247783000000.0,273318000000.0,318498000000.0,354461000000.0,330000000000.0,299362000000.0,287798000000.0,245671000000.0,239862000000.0,237030000000.0,196591000000.0,195222000000.0,203588000000.0,218138000000.0,209853000000.0
Hungary,HUN,Hungary,112981000000.0,115577000000.0,139966000000.0,158136000000.0,130760000000.0,131917000000.0,141760000000.0,128475000000.0,135412000000.0,140765000000.0,125074000000.0,128471000000.0,142962000000.0,160419000000.0,163469000000.0
Ireland,IRL,Ireland,211649000000.0,232083000000.0,269918000000.0,275039000000.0,236316000000.0,222149000000.0,237472000000.0,224999000000.0,238544000000.0,258472000000.0,291500000000.0,300523000000.0,335663000000.0,382674000000.0,388699000000.0
Italy,ITA,Italy,1857520000000.0,1947920000000.0,2210290000000.0,2398860000000.0,2191240000000.0,2134020000000.0,2291990000000.0,2087080000000.0,2141320000000.0,2159130000000.0,1835900000000.0,1875800000000.0,1961800000000.0,2091540000000.0,2003580000000.0
Latvia,LVA,Latvia,16959313006.0,21517445448.0,31004884421.0,35756225698.0,26317286628.0,23877564356.0,28619991392.0,28330632929.0,30432796306.0,31329367173.0,27239653844.0,28052325862.0,30458763246.0,34416012859.0,34102913582.0
Lithuania,LTU,Lithuania,26097677572.0,30183575104.0,39697891352.0,47797551588.0,37388122046.0,37138464733.0,43582248870.0,42943442158.0,46514471182.0,48574531942.0,41418872976.0,43018087238.0,47758736932.0,53722883091.0,54627411860.0
Luxembourg,LUX,Luxembourg,37347394603.0,42414308117.0,50888134410.0,55849686539.0,51370543206.0,53212476812.0,60004630234.0,56677961787.0,61739352212.0,66103853237.0,57744457955.0,60691483443.0,64181944723.0,70919958016.0,71104919108.0
Malta,MLT,Malta,6416184236.0,6778324087.0,7925371459.0,9090406750.0,8696366869.0,9035932178.0,9638916472.0,9462238257.0,10551661220.0,11626281450.0,11091434435.0,11665231192.0,13146963159.0,14750790658.0,14989415684.0
Netherlands,NLD,Netherlands,685093000000.0,733341000000.0,847482000000.0,947998000000.0,868077000000.0,846555000000.0,904086000000.0,838971000000.0,876924000000.0,890981000000.0,765265000000.0,783528000000.0,833870000000.0,914043000000.0,907051000000.0
Poland,POL,Poland,306144000000.0,344622000000.0,429029000000.0,533609000000.0,439738000000.0,479834000000.0,528301000000.0,498524000000.0,521016000000.0,542477000000.0,477812000000.0,472630000000.0,526509000000.0,587412000000.0,595858000000.0
Portugal,PRT,Portugal,197180000000.0,208582000000.0,240191000000.0,262345000000.0,243702000000.0,237881000000.0,244797000000.0,216237000000.0,226370000000.0,229596000000.0,199314000000.0,206286000000.0,221358000000.0,242313000000.0,238785000000.0
Romania,ROU,Romania,98452791983.0,122023000000.0,174585000000.0,214314000000.0,174104000000.0,166309000000.0,183327000000.0,170636000000.0,190801000000.0,199959000000.0,177729000000.0,188129000000.0,211695000000.0,241457000000.0,250077000000.0
Slovak Republic,SVK,Slovak Republic,62785305310.0,70708098106.0,86454081577.0,100470000000.0,89046289247.0,90310718349.0,99122802874.0,94534730681.0,98848641555.0,101190000000.0,88467555244.0,89655253976.0,95494424979.0,105702000000.0,105080000000.0
Slovenia,SVN,Slovenia,36206395971.0,39481045038.0,48006372844.0,55552509155.0,50368056405.0,48161250405.0,51516366655.0,46580457470.0,48401896808.0,49930685013.0,43090173395.0,44736333522.0,48586603448.0,54161636035.0,54174227309.0
Spain,ESP,Spain,1153290000000.0,1259340000000.0,1472130000000.0,1625220000000.0,1485580000000.0,1420720000000.0,1478770000000.0,1324820000000.0,1354760000000.0,1369400000000.0,1195120000000.0,1232080000000.0,1312540000000.0,1422150000000.0,1393490000000.0
Sweden,SWE,Sweden,392218000000.0,423093000000.0,491253000000.0,517706000000.0,436537000000.0,495813000000.0,574094000000.0,552484000000.0,586842000000.0,581964000000.0,505104000000.0,515655000000.0,541019000000.0,555455000000.0,530884000000.0
=======
country_name,country_code,ump_year,unemployment_pct
Austria,AUT,2005,5.63
Belgium,BEL,2005,8.44
Bulgaria,BGR,2005,10.08
Croatia,HRV,2005,12.6
Cyprus,CYP,2005,5.3
Czech Republic,CZE,2005,7.93
Denmark,DNK,2005,4.83
Estonia,EST,2005,8.03
Finland,FIN,2005,8.38
France,FRA,2005,8.49
Germany,DEU,2005,11.17
Greece,GRC,2005,9.99
Hungary,HUN,2005,7.19
Ireland,IRL,2005,4.34
Italy,ITA,2005,7.73
Latvia,LVA,2005,10.03
Lithuania,LTU,2005,8.33
Luxembourg,LUX,2005,4.49
Malta,MLT,2005,6.92
Netherlands,NLD,2005,5.87
Poland,POL,2005,17.75
Portugal,PRT,2005,7.58
Romania,ROU,2005,7.17
Slovak Republic,SVK,2005,16.26
Slovenia,SVN,2005,6.51
Spain,ESP,2005,9.15
Sweden,SWE,2005,7.49
Austria,AUT,2006,5.24
Belgium,BEL,2006,8.25
Bulgaria,BGR,2006,8.95
Croatia,HRV,2006,11.13
Cyprus,CYP,2006,4.54
Czech Republic,CZE,2006,7.15
Denmark,DNK,2006,3.9
Estonia,EST,2006,5.92
Finland,FIN,2006,7.72
France,FRA,2006,8.45
Germany,DEU,2006,10.25
Greece,GRC,2006,9.01
Hungary,HUN,2006,7.49
Ireland,IRL,2006,4.42
Italy,ITA,2006,6.78
Latvia,LVA,2006,7.03
Lithuania,LTU,2006,5.78
Luxembourg,LUX,2006,4.73
Malta,MLT,2006,6.8
Netherlands,NLD,2006,5
Poland,POL,2006,13.84
Portugal,PRT,2006,7.65
Romania,ROU,2006,7.27
Slovak Republic,SVK,2006,13.37
Slovenia,SVN,2006,5.95
Spain,ESP,2006,8.45
Sweden,SWE,2006,7.07
Austria,AUT,2007,4.86
Belgium,BEL,2007,7.46
Bulgaria,BGR,2007,6.88
Croatia,HRV,2007,9.91
Cyprus,CYP,2007,3.92
Czech Republic,CZE,2007,5.32
Denmark,DNK,2007,3.8
Estonia,EST,2007,4.59
Finland,FIN,2007,6.85
France,FRA,2007,7.66
Germany,DEU,2007,8.66
Greece,GRC,2007,8.4
Hungary,HUN,2007,7.41
Ireland,IRL,2007,4.98
Italy,ITA,2007,6.08
Latvia,LVA,2007,6.05
Lithuania,LTU,2007,4.25
Luxembourg,LUX,2007,4.07
Malta,MLT,2007,6.47
Netherlands,NLD,2007,4.15
Poland,POL,2007,9.6
Portugal,PRT,2007,7.96
Romania,ROU,2007,6.41
Slovak Republic,SVK,2007,11.14
Slovenia,SVN,2007,4.82
Spain,ESP,2007,8.23
Sweden,SWE,2007,6.16
Austria,AUT,2008,4.13
Belgium,BEL,2008,6.98
Bulgaria,BGR,2008,5.61
Croatia,HRV,2008,8.53
Cyprus,CYP,2008,3.66
Czech Republic,CZE,2008,4.39
Denmark,DNK,2008,3.68
Estonia,EST,2008,5.46
Finland,FIN,2008,6.37
France,FRA,2008,7.06
Germany,DEU,2008,7.53
Greece,GRC,2008,7.76
Hungary,HUN,2008,7.82
Ireland,IRL,2008,6.77
Italy,ITA,2008,6.72
Latvia,LVA,2008,7.74
Lithuania,LTU,2008,5.83
Luxembourg,LUX,2008,5.06
Malta,MLT,2008,5.98
Netherlands,NLD,2008,3.65
Poland,POL,2008,7.12
Portugal,PRT,2008,7.55
Romania,ROU,2008,5.79
Slovak Republic,SVK,2008,9.51
Slovenia,SVN,2008,4.37
Spain,ESP,2008,11.25
Sweden,SWE,2008,6.24
Austria,AUT,2009,5.3
Belgium,BEL,2009,7.91
Bulgaria,BGR,2009,6.82
Croatia,HRV,2009,9.2
Cyprus,CYP,2009,5.36
Czech Republic,CZE,2009,6.66
Denmark,DNK,2009,6.41
Estonia,EST,2009,13.55
Finland,FIN,2009,8.25
France,FRA,2009,8.74
Germany,DEU,2009,7.74
Greece,GRC,2009,9.62
Hungary,HUN,2009,10.03
Ireland,IRL,2009,12.61
Italy,ITA,2009,7.75
Latvia,LVA,2009,17.52
Lithuania,LTU,2009,13.79
Luxembourg,LUX,2009,5.12
Malta,MLT,2009,6.89
Netherlands,NLD,2009,4.35
Poland,POL,2009,8.17
Portugal,PRT,2009,9.43
Romania,ROU,2009,6.86
Slovak Republic,SVK,2009,12.03
Slovenia,SVN,2009,5.86
Spain,ESP,2009,17.86
Sweden,SWE,2009,8.35
Austria,AUT,2010,4.82
Belgium,BEL,2010,8.29
Bulgaria,BGR,2010,10.28
Croatia,HRV,2010,11.62
Cyprus,CYP,2010,6.26
Czech Republic,CZE,2010,7.28
Denmark,DNK,2010,7.75
Estonia,EST,2010,16.71
Finland,FIN,2010,8.39
France,FRA,2010,8.87
Germany,DEU,2010,6.97
Greece,GRC,2010,12.71
Hungary,HUN,2010,11.17
Ireland,IRL,2010,14.53
Italy,ITA,2010,8.36
Latvia,LVA,2010,19.48
Lithuania,LTU,2010,17.81
Luxembourg,LUX,2010,4.36
Malta,MLT,2010,6.85
Netherlands,NLD,2010,4.99
Poland,POL,2010,9.64
Portugal,PRT,2010,10.77
Romania,ROU,2010,6.96
Slovak Republic,SVK,2010,14.38
Slovenia,SVN,2010,7.24
Spain,ESP,2010,19.86
Sweden,SWE,2010,8.61
Austria,AUT,2011,4.56
Belgium,BEL,2011,7.14
Bulgaria,BGR,2011,11.26
Croatia,HRV,2011,13.68
Cyprus,CYP,2011,7.86
Czech Republic,CZE,2011,6.71
Denmark,DNK,2011,7.77
Estonia,EST,2011,12.33
Finland,FIN,2011,7.78
France,FRA,2011,8.81
Germany,DEU,2011,5.82
Greece,GRC,2011,17.87
Hungary,HUN,2011,11.03
Ireland,IRL,2011,15.35
Italy,ITA,2011,8.36
Latvia,LVA,2011,16.21
Lithuania,LTU,2011,15.39
Luxembourg,LUX,2011,4.9
Malta,MLT,2011,6.38
Netherlands,NLD,2011,4.98
Poland,POL,2011,9.63
Portugal,PRT,2011,12.68
Romania,ROU,2011,7.18
Slovak Republic,SVK,2011,13.62
Slovenia,SVN,2011,8.17
Spain,ESP,2011,21.39
Sweden,SWE,2011,7.8
Austria,AUT,2012,4.87
Belgium,BEL,2012,7.54
Bulgaria,BGR,2012,12.27
Croatia,HRV,2012,15.94
Cyprus,CYP,2012,11.8
Czech Republic,CZE,2012,6.98
Denmark,DNK,2012,7.8
Estonia,EST,2012,10.02
Finland,FIN,2012,7.69
France,FRA,2012,9.4
Germany,DEU,2012,5.38
Greece,GRC,2012,24.44
Hungary,HUN,2012,11
Ireland,IRL,2012,15.45
Italy,ITA,2012,10.66
Latvia,LVA,2012,15.05
Lithuania,LTU,2012,13.37
Luxembourg,LUX,2012,5.14
Malta,MLT,2012,6.2
Netherlands,NLD,2012,5.82
Poland,POL,2012,10.09
Portugal,PRT,2012,15.53
