Country Name,Country Code,Year,Population
Austria,AUT,2005,8227829.0
Austria,AUT,2006,8268641.0
Austria,AUT,2007,8295487.0
Austria,AUT,2008,8321496.0
Austria,AUT,2009,8343323.0
Austria,AUT,2010,8363404.0
Austria,AUT,2011,8391643.0
Austria,AUT,2012,8429991.0
Austria,AUT,2013,8479823.0
Austria,AUT,2014,8546356.0
Austria,AUT,2015,8642699.0
Austria,AUT,2016,8736668.0
Austria,AUT,2017,8797566.0
Austria,AUT,2018,8840521.0
Austria,AUT,2019,8877067.0
Belgium,BEL,2005,10478617.0
Belgium,BEL,2006,10547958.0
Belgium,BEL,2007,10625700.0
Belgium,BEL,2008,10709973.0
Belgium,BEL,2009,10796493.0
Belgium,BEL,2010,10895586.0
Belgium,BEL,2011,11038264.0
Belgium,BEL,2012,11106932.0
Belgium,BEL,2013,11159407.0
Belgium,BEL,2014,11209057.0
Belgium,BEL,2015,11274196.0
Belgium,BEL,2016,11331422.0
Belgium,BEL,2017,11375158.0
Belgium,BEL,2018,11427054.0
Belgium,BEL,2019,11484055.0
Bulgaria,BGR,2005,7658972.0
Bulgaria,BGR,2006,7601022.0
Bulgaria,BGR,2007,7545338.0
Bulgaria,BGR,2008,7492561.0
Bulgaria,BGR,2009,7444443.0
Bulgaria,BGR,2010,7395599.0
Bulgaria,BGR,2011,7348328.0
Bulgaria,BGR,2012,7305888.0
Bulgaria,BGR,2013,7265115.0
Bulgaria,BGR,2014,7223938.0
Bulgaria,BGR,2015,7177991.0
Bulgaria,BGR,2016,7127822.0
Bulgaria,BGR,2017,7075947.0
Bulgaria,BGR,2018,7025037.0
Bulgaria,BGR,2019,6975761.0
Croatia,HRV,2005,4310145.0
Croatia,HRV,2006,4311159.0
Croatia,HRV,2007,4310217.0
Croatia,HRV,2008,4309705.0
Croatia,HRV,2009,4305181.0
Croatia,HRV,2010,4295427.0
Croatia,HRV,2011,4280622.0
Croatia,HRV,2012,4267558.0
Croatia,HRV,2013,4255689.0
Croatia,HRV,2014,4238389.0
Croatia,HRV,2015,4203604.0
Croatia,HRV,2016,4174349.0
Croatia,HRV,2017,4124531.0
Croatia,HRV,2018,4087843.0
Croatia,HRV,2019,4067500.0
Cyprus,CYP,2005,1027662.0
Cyprus,CYP,2006,1045507.0
Cyprus,CYP,2007,1063713.0
Cyprus,CYP,2008,1081563.0
Cyprus,CYP,2009,1098083.0
Cyprus,CYP,2010,1112612.0
Cyprus,CYP,2011,1124833.0
Cyprus,CYP,2012,1135046.0
Cyprus,CYP,2013,1143866.0
Cyprus,CYP,2014,1152285.0
Cyprus,CYP,2015,1160985.0
Cyprus,CYP,2016,1170187.0
Cyprus,CYP,2017,1179680.0
Cyprus,CYP,2018,1189265.0
Cyprus,CYP,2019,1198575.0
Czech Republic,CZE,2005,10211216.0
Czech Republic,CZE,2006,10238905.0
Czech Republic,CZE,2007,10298828.0
Czech Republic,CZE,2008,10384603.0
Czech Republic,CZE,2009,10443936.0
Czech Republic,CZE,2010,10474410.0
Czech Republic,CZE,2011,10496088.0
Czech Republic,CZE,2012,10510785.0
Czech Republic,CZE,2013,10514272.0
Czech Republic,CZE,2014,10525347.0
Czech Republic,CZE,2015,10546059.0
Czech Republic,CZE,2016,10566332.0
Czech Republic,CZE,2017,10594438.0
Czech Republic,CZE,2018,10629928.0
Czech Republic,CZE,2019,10669709.0
Denmark,DNK,2005,5419432.0
Denmark,DNK,2006,5437272.0
Denmark,DNK,2007,5461438.0
Denmark,DNK,2008,5493621.0
Denmark,DNK,2009,5523095.0
Denmark,DNK,2010,5547683.0
Denmark,DNK,2011,5570572.0
Denmark,DNK,2012,5591572.0
Denmark,DNK,2013,5614932.0
Denmark,DNK,2014,5643475.0
Denmark,DNK,2015,5683483.0
Denmark,DNK,2016,5728010.0
Denmark,DNK,2017,5764980.0
Denmark,DNK,2018,5793636.0
Denmark,DNK,2019,5818553.0
Estonia,EST,2005,1354775.0
Estonia,EST,2006,1346810.0
Estonia,EST,2007,1340680.0
Estonia,EST,2008,1337090.0
Estonia,EST,2009,1334515.0
Estonia,EST,2010,1331475.0
Estonia,EST,2011,1327439.0
Estonia,EST,2012,1322696.0
Estonia,EST,2013,1317997.0
Estonia,EST,2014,1314545.0
Estonia,EST,2015,1315407.0
Estonia,EST,2016,1315790.0
Estonia,EST,2017,1317384.0
Estonia,EST,2018,1321977.0
Estonia,EST,2019,1326590.0
Finland,FIN,2005,5246096.0
Finland,FIN,2006,5266268.0
Finland,FIN,2007,5288720.0
Finland,FIN,2008,5313399.0
Finland,FIN,2009,5338871.0
Finland,FIN,2010,5363352.0
Finland,FIN,2011,5388272.0
Finland,FIN,2012,5413971.0
Finland,FIN,2013,5438972.0
Finland,FIN,2014,5461512.0
Finland,FIN,2015,5479531.0
Finland,FIN,2016,5495303.0
Finland,FIN,2017,5508214.0
Finland,FIN,2018,5515525.0
Finland,FIN,2019,5520314.0
France,FRA,2005,63179351.0
France,FRA,2006,63621381.0
France,FRA,2007,64016225.0
France,FRA,2008,64374984.0
France,FRA,2009,64707040.0
France,FRA,2010,65027507.0
France,FRA,2011,65342780.0
France,FRA,2012,65659809.0
France,FRA,2013,65998687.0
France,FRA,2014,66312067.0
France,FRA,2015,66548272.0
France,FRA,2016,66724104.0
France,FRA,2017,66864379.0
France,FRA,2018,66965912.0
France,FRA,2019,67059887.0
Germany,DEU,2005,82469422.0
Germany,DEU,2006,82376451.0
Germany,DEU,2007,82266372.0
Germany,DEU,2008,82110097.0
Germany,DEU,2009,81902307.0
Germany,DEU,2010,81776930.0
Germany,DEU,2011,80274983.0
Germany,DEU,2012,80425823.0
Germany,DEU,2013,80645605.0
Germany,DEU,2014,80982500.0
Germany,DEU,2015,81686611.0
Germany,DEU,2016,82348669.0
Germany,DEU,2017,82657002.0
Germany,DEU,2018,82905782.0
Germany,DEU,2019,83132799.0
Greece,GRC,2005,10987314.0
Greece,GRC,2006,11020362.0
Greece,GRC,2007,11048473.0
Greece,GRC,2008,11077841.0
Greece,GRC,2009,11107017.0
Greece,GRC,2010,11121341.0
Greece,GRC,2011,11104899.0
Greece,GRC,2012,11045011.0
Greece,GRC,2013,10965211.0
Greece,GRC,2014,10892413.0
Greece,GRC,2015,10820883.0
Greece,GRC,2016,10775971.0
Greece,GRC,2017,10754679.0
Greece,GRC,2018,10732882.0
Greece,GRC,2019,10716322.0
Hungary,HUN,2005,10087065.0
Hungary,HUN,2006,10071370.0
Hungary,HUN,2007,10055780.0
Hungary,HUN,2008,10038188.0
Hungary,HUN,2009,10022650.0
Hungary,HUN,2010,10000023.0
Hungary,HUN,2011,9971727.0
Hungary,HUN,2012,9920362.0
Hungary,HUN,2013,9893082.0
Hungary,HUN,2014,9866468.0
Hungary,HUN,2015,9843028.0
Hungary,HUN,2016,9814023.0
Hungary,HUN,2017,9787966.0
Hungary,HUN,2018,9775564.0
Hungary,HUN,2019,9769949.0
Ireland,IRL,2005,4159914.0
Ireland,IRL,2006,4273591.0
Ireland,IRL,2007,4398942.0
Ireland,IRL,2008,4489544.0
Ireland,IRL,2009,4535375.0
Ireland,IRL,2010,4560155.0
Ireland,IRL,2011,4580084.0
Ireland,IRL,2012,4599533.0
Ireland,IRL,2013,4623816.0
Ireland,IRL,2014,4657740.0
Ireland,IRL,2015,4701957.0
Ireland,IRL,2016,4755335.0
Ireland,IRL,2017,4807388.0
Ireland,IRL,2018,4867316.0
Ireland,IRL,2019,4941444.0
Italy,ITA,2005,57969484.0
Italy,ITA,2006,58143979.0
Italy,ITA,2007,58438310.0
Italy,ITA,2008,58826731.0
